Date,Adj_Close,Close,High,Low,Open,Volume,SMA_10,EMA_10,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,RSI,MACD,MACD_Signal,MACD_Hist
2024-05-09,507.8114013671875,520.1699829101562,520.2100219726562,516.7100219726562,517.3800048828125,43643700,520.1699829101562,520.1699829101562,520.1699829101562,520.1699829101562,520.1699829101562,520.1699829101562,520.1699829101562,520.1699829101562,,0.0,0.0,0.0
2024-05-10,508.46551513671875,520.8400268554688,522.6400146484375,519.5900268554688,521.8099975585938,52233200,520.5050048828125,520.2918090820312,520.5050048828125,520.2337966192337,520.5050048828125,520.1962591433057,520.5050048828125,520.1766500140898,100.0,0.053450799056236065,0.010690159811247213,0.04276063924498885
2024-05-13,508.53375244140625,520.9099731445312,522.6699829101562,519.739990234375,522.5599975585938,36716400,520.6399943033854,520.4042025479403,520.6399943033854,520.2981943835478,520.6399943033854,520.2242479276675,520.6399943033854,520.1839467616563,100.0,0.10029884075993323,0.02861189600098442,0.07168694475894881
2024-05-14,510.8670349121094,523.2999877929688,523.8300170898438,520.5599975585938,521.1099853515625,57535900,521.3049926757812,520.9307089561272,521.3049926757812,520.5840794701593,521.3049926757812,520.3448651772871,521.3049926757812,520.2149521450524,100.0,0.32651657939732104,0.08819283268025174,0.2383237467170693
2024-05-15,517.193115234375,529.780029296875,530.0800170898438,525.1799926757812,525.8300170898438,59504900,523.0,522.5396762908086,523.0,521.4598842155608,523.0,520.7148716133495,523.0,520.3101270420856,100.0,1.0169581005286545,0.2739458862499323,0.7430122142787222
2024-05-16,516.1289672851562,528.6900024414062,531.52001953125,528.5399780273438,529.8800048828125,50244800,523.9483337402344,523.6579174090991,523.9483337402344,522.1484669037366,523.9483337402344,521.0276218419008,523.9483337402344,520.393508886855,93.27067487271871,1.4593593368700795,0.5110285763739617,0.9483307604961178
2024-05-17,516.8709106445312,529.4500122070312,529.52001953125,527.3200073242188,528.8099975585938,59187600,524.7342878069196,524.7110255541777,524.7342878069196,522.843852170717,524.7342878069196,521.3579116601412,524.7342878069196,520.4836233477523,93.59434435845597,1.8499666761405251,0.7788161963272744,1.0711504798132507
2024-05-20,517.4663696289062,530.0599975585938,531.5599975585938,529.1699829101562,529.5700073242188,37764200,525.4000015258789,525.683565918617,525.4000015258789,523.5311041124196,525.4000015258789,521.6991699306687,525.4000015258789,520.5789106533329,93.850019723941,2.183575626107995,1.0597680822834186,1.1238075438245765
2024-05-21,518.735595703125,531.3599853515625,531.52001953125,529.0700073242188,529.280029296875,33437000,526.0622219509548,526.7156421791525,526.0622219509548,524.2767118494808,526.0622219509548,522.0780254373705,526.0622219509548,520.6861850284396,94.36612364733074,2.5237688367624287,1.3525682331792206,1.171200603583208
2024-05-22,517.2418823242188,529.8300170898438,531.3800048828125,527.5999755859375,530.6500244140625,48390000,526.4390014648437,527.2818921629145,526.4390014648437,524.8055980628486,526.4390014648437,522.3820251100165,526.4390014648437,520.7771684320356,85.29398509216368,2.6394923303660107,1.6099530526165786,1.029539277749432
